# stations et liens du métro parisien
# format : V num sommet lat long num_ligne nom_sommet
#          E num_sommet1 num_sommet1 temps_en_secondes
E 0151 0339 093
E 0153 0245 064
E 0154 0349 033
E 0156 0371 046
E 0157 0306 036
E 0157 0291 049
E 0158 0371 066
E 0160 0226 040
E 0161 0364 028
E 0161 0184 039
E 0164 0244 060
E 0165 0375 033
E 0166 0258 038
E 0166 0252 037
E 0167 0265 031
E 0168 0326 049
E 0168 0245 028
E 0169 0341 054
E 0171 0264 049
E 0172 0240 035
E 0173 0227 034
E 0174 0221 031
E 0174 0346 072
E 0175 0325 144
E 0176 0281 071
E 0177 0225 088
E 0179 0237 037
E 0180 0267 091
E 0183 0278 051
E 0184 0260 031
E 0184 0352 036
E 0185 0186 026
E 0186 0372 033
E 0187 0188 034
E 0187 0273 046
E 0189 0367 049
E 0189 0370 035
E 0190 0269 027
E 0191 0194 067
E 0192 0337 036
E 0193 0271 038
E 0194 0276 067
E 0196 0259 047
E 0197 0199 028
E 0198 0052 042
E 0200 0257 051
E 0201 0145 046
E 0202 0326 112
E 0203 0317 053
E 0203 0332 040
E 0204 0366 051
E 0205 0296 038
E 0206 0218 045
E 0208 0361 042
E 0208 0333 048
E 0209 0232 054
E 0211 0284 049
E 0212 0275 086
E 0212 0295 064
E 0214 0236 042
E 0215 0307 060
E 0216 0243 055
E 0217 0353 029
E 0217 0322 037
E 0218 0294 038
E 0219 0297 050
E 0219 0313 081
E 0220 0316 035
E 0220 0315 080
E 0222 0323 042
E 0222 0330 031
E 0223 0289 043
E 0224 0282 080
E 0225 0298 075
E 0226 0270 039
E 0227 0356 038
E 0228 0255 053
E 0228 0282 049
E 0229 0305 043
E 0229 0312 064
E 0230 0354 062
E 0231 0368 040
E 0232 0348 046
E 0233 0320 033
E 0234 0249 038
E 0235 0284 044
E 0237 0261 037
E 0238 0322 027
E 0244 0352 037
E 0246 0302 037
E 0247 0357 023
E 0248 0280 057
E 0249 0273 035
E 0254 0345 075
E 0256 0362 037
E 0257 0265 026
E 0259 0198 047
E 0259 0036 084
E 0260 0266 037
E 0261 0266 046
E 0264 0286 041
E 0268 0337 039
E 0269 0301 035
E 0275 0328 041
E 0278 0357 059
E 0279 0320 037
E 0280 0092 043
E 0285 0305 061
E 0286 0370 035
E 0292 0361 038
E 0294 0347 046
E 0298 0303 046
E 0299 0304 048
E 0300 0341 046
E 0302 0366 053
E 0306 0355 033
E 0308 0347 029
E 0308 0338 033
E 0309 0336 065
E 0310 0375 028
E 0310 0342 067
E 0312 0350 037
E 0314 0343 098
E 0315 0344 107
E 0316 0369 027
E 0321 0359 023
E 0323 0334 047
E 0325 0353 069
E 0333 0334 032
E 0346 0358 033
E 0360 0368 047
E 0363 0365 028
E 0364 0365 028
E 0373 0196 037
E 0007 0008 180
E 0013 0014 180
E 0016 0018 240
E 0016 0017 240
E 0017 0018 240
E 0020 0021 180
E 0022 0023 180
E 0032 0033 180
E 0050 0051 180
E 0055 0057 240
E 0055 0056 240
E 0056 0057 240
E 0059 0060 180
E 0067 0069 300
E 0067 0068 300
E 0067 0070 300
E 0067 0071 300
E 0068 0069 300
E 0068 0070 300
E 0068 0071 300
E 0069 0070 300
E 0069 0071 300
E 0070 0071 300
E 0077 0079 240
E 0077 0078 240
E 0078 0079 240
E 0093 0094 180
E 0095 0096 180
E 0099 0100 180
E 0109 0110 180
E 0115 0116 180
E 0117 0118 180
E 0119 0120 180
E 0121 0123 240
E 0121 0122 240
E 0122 0123 240
E 0124 0125 180
E 0132 0133 180
E 0135 0136 180
E 0137 0138 180
E 0142 0144 240
E 0142 0143 240
E 0143 0144 240
E 0148 0149 180
E 0154 0156 240
E 0154 0155 240
E 0155 0156 240
E 0169 0170 180
E 0175 0177 240
E 0175 0176 240
E 0176 0177 240
E 0191 0192 180
E 0196 0197 180
E 0198 0199 180
E 0202 0203 180
E 0206 0208 300
E 0206 0207 300
E 0206 0209 300
E 0207 0208 300
E 0207 0209 300
E 0208 0209 300
E 0212 0214 300
E 0212 0213 300
E 0212 0215 300
E 0213 0214 300
E 0213 0215 300
E 0214 0215 300
E 0219 0220 180
E 0221 0222 180
E 0223 0225 240
E 0223 0224 240
E 0224 0225 240
E 0227 0228 180
E 0231 0232 180
E 0238 0239 180
E 0242 0244 240
E 0242 0243 240
E 0243 0244 240
E 0245 0246 180
E 0247 0248 180
E 0278 0279 180
E 0281 0282 180
E 0284 0285 180
E 0292 0293 180
E 0295 0296 180
E 0298 0299 180
E 0303 0304 180
E 0309 0310 180
E 0311 0313 300
E 0311 0312 300
E 0311 0314 300
E 0311 0315 300
E 0312 0313 300
E 0312 0314 300
E 0312 0315 300
E 0313 0314 300
E 0313 0315 300
E 0314 0315 300
E 0325 0327 240
E 0325 0326 240
E 0326 0327 240
E 0339 0341 240
E 0339 0340 240
E 0340 0341 240
E 0342 0344 240
E 0342 0343 240
E 0343 0344 240
E 0346 0347 180
E 0354 0355 180
E 0366 0367 180
